Date,Open,High,Low,Close,Volumn,Name
7/28/00,100,100,100,100,4200,VNINDEX
7/31/00,101.55,101.55,101.55,101.55,10300,VNINDEX
8/2/00,103.38,103.38,103.38,103.38,300,VNINDEX
8/4/00,105.2,105.2,105.2,105.2,3700,VNINDEX
8/7/00,106.92,106.92,106.92,106.92,13100,VNINDEX
8/9/00,108.64,108.64,108.64,108.64,15900,VNINDEX
8/11/00,110.36,110.36,110.36,110.36,13600,VNINDEX
8/14/00,112.08,112.08,112.08,112.08,11700,VNINDEX
8/16/00,113.8,113.8,113.8,113.8,23000,VNINDEX
8/18/00,115.52,115.52,115.52,115.52,10300,VNINDEX
8/21/00,117.24,117.24,117.24,117.24,35500,VNINDEX
8/23/00,118.96,118.96,118.96,118.96,111400,VNINDEX
8/25/00,118.84,118.84,118.84,118.84,95200,VNINDEX
8/28/00,117,117,117,117,97900,VNINDEX
8/30/00,115.15,115.15,115.15,115.15,126500,VNINDEX
9/1/00,113.37,113.37,113.37,113.37,96600,VNINDEX
9/6/00,112.51,112.51,112.51,112.51,60900,VNINDEX
9/8/00,112.39,112.39,112.39,112.39,49500,VNINDEX
9/11/00,114.11,114.11,114.11,114.11,31300,VNINDEX
9/13/00,116.08,116.08,116.08,116.08,18400,VNINDEX
9/15/00,118.04,118.04,118.04,118.04,45900,VNINDEX
9/18/00,118.19,118.19,118.19,118.19,64600,VNINDEX
9/20/00,118.21,118.21,118.21,118.21,41600,VNINDEX
9/22/00,118.76,118.76,118.76,118.76,66900,VNINDEX
9/25/00,118.98,118.98,118.98,118.98,56600,VNINDEX
9/27/00,119.69,119.69,119.69,119.69,56600,VNINDEX
9/29/00,120.71,120.71,120.71,120.71,52800,VNINDEX
10/2/00,120.92,120.92,120.92,120.92,48600,VNINDEX
10/4/00,121.14,121.14,121.14,121.14,58400,VNINDEX
10/6/00,122.21,122.21,122.21,122.21,39600,VNINDEX
10/9/00,124.33,124.33,124.33,124.33,25900,VNINDEX
10/11/00,126.45,126.45,126.45,126.45,53300,VNINDEX
10/13/00,128.57,128.57,128.57,128.57,51900,VNINDEX
10/16/00,130.71,130.71,130.71,130.71,26600,VNINDEX
10/18/00,132.85,132.85,132.85,132.85,25700,VNINDEX
10/20/00,135.04,135.04,135.04,135.04,65900,VNINDEX
